"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AIR+1,AIR-1,PRE-CHARGE1","3","Relay_DPST-NO","","","","",""
"C1,C2,C3,C4","4","100nf","","","","",""
"D1,D2,D4","3","D","","","","",""
"D3,D5","2","MBR0520LT","","","","Diode_SMD:D_SOD-123","http://www.onsemi.com/pub_link/Collateral/MBR0520LT1-D.PDF"
"Q1,Q2,Q3","3","Q_NMOS_GDS","","","","",""
"R1,R2,R3","3","10k","","","","",""
"R4","1","100ohm_50w","","","","",""
"R5,R6,R8","3","10kohm","","","","",""
"R7","1","100ohm","","","","",""
"r9,r10,r11,r12","4","200kΩ","","","","",""
"r13","1","1kΩ","","","","",""
"r14","1","1Mohm","","","","",""
"RV1","1","R_Potentiometer_Trim","","","","",""
"TR1","1","Wuerth_750315371","","","","Transformer_SMD:Transformer_Wuerth_750315371","https://www.we-online.com/catalog/datasheet/750315371.pdf"
"U1","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U2","1","LM393","","","","","http://www.ti.com/lit/ds/symlink/lm393.pdf"
"U3","1","AMC1301DWVR","","","","DWV0008A","https://www.ti.com/lit/gpn/amc1301"
"U4","1","SN6501DBVR","","","","DBV0005A_N","https://www.ti.com/lit/gpn/sn6501"
"U5","1","TPS76350DBVR","","","","DBV5","https://www.ti.com/lit/gpn/tps763"
